Name,Category,Property,Property 1,Status
2 מצברים מתנתקים,Upgrades,,,
פלוס לדברים הכרחיים ופלוס נפרד לכל השאר שאפשר לנתק כשמרתכים את הרכב עצמו,Upgrades,,,
דשבורד כמו פאנל נשלף,Upgrades,,,
Dasboard Lights,Electricity,,,
Replace switches of inside lightning to 12v,Electricity,,,
Signals,Electricity,,,
Replace cable of 2 front leds,Electricity,,,
Front left spring - rear mount is bent,Suspension,,,
Fuel meter,Electricity,,,
New Ocolones,Suspension,,,
Check chock mounts,Suspension,,,
New suspension - leafs and shocks,Suspension,,,
Check flywheel,Transmission,,,
,Suspension,,,
Check gear mounts,Transmission,,,
Replace clutch,Transmission,,"₪67,576.00",
New tires,Transmission,,,
Transfer jumps in load,Transmission,,,
"Check drive-shafts for ""freedoms""",Transmission,,,
Change all oils,Transmission,,,
Replace steering shock,Steering,,,
Change steering pole,Steering,,,
Leak between transfer and gear,Transmission,,,
Check for leakages,Brakes,,,Later
Clean and paint,Body & Chassis,,,Later
Do something nice to body,Body & Chassis,,,
Replace oil,Brakes,,,
Pull hand-brakes,Brakes,,,
Fix rotten places,Body & Chassis,,,
New rear bumper,Body & Chassis,,,
Fix up rear drums,Brakes,,,
New hard-top+doors+roll cage,Body & Chassis,,,
Leak michse shastomim,Engine,,,Now
Fix up carburator,Engine,,,
Check mounts,Engine,,,Later
"Carter - new seal, new pkak",Engine,,,
"Distributer - fix up, clean, leakage",Engine,,,Now
מגירת כלים וחלקים אטומה מתחת למושב,Upgrades,,,
